GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Chongqing-EP_Coal_300_OT-ep-2077,0.4,9.16975
Chongqing-EP_Coal_300_OT-ep-2077,1.0,8.53
Chongqing-EP_Coal_300_OT-ep-2078,0.4,9.16975
Chongqing-EP_Coal_300_OT-ep-2078,1.0,8.53
Chongqing-EP_Coal_300_OT-ep-2079,0.4,9.16975
Chongqing-EP_Coal_300_OT-ep-2079,1.0,8.53
Chongqing-EP_Coal_300_RC-ep-2080,0.4,9.16975
Chongqing-EP_Coal_300_RC-ep-2080,1.0,8.53
Chongqing-EP_Coal_300_RC-ep-2081,0.4,9.16975
Chongqing-EP_Coal_300_RC-ep-2081,1.0,8.53
Chongqing-EP_Coal_300_RC-ep-2082,0.4,9.16975
Chongqing-EP_Coal_300_RC-ep-2082,1.0,8.53
Chongqing-EP_Coal_300_RC-ep-2083,0.4,9.16975
Chongqing-EP_Coal_300_RC-ep-2083,1.0,8.53
Chongqing-EP_Coal_300_RC-ep-2084,0.4,9.16975
Chongqing-EP_Coal_300_RC-ep-2084,1.0,8.53
Chongqing-EP_Coal_300_RC-ep-2085,0.4,9.16975
Chongqing-EP_Coal_300_RC-ep-2085,1.0,8.53
Chongqing-EP_Coal_300_RC-ep-2086,0.4,9.16975
Chongqing-EP_Coal_300_RC-ep-2086,1.0,8.53
Chongqing-EP_Coal_300_RC-ep-2087,0.4,9.16975
Chongqing-EP_Coal_300_RC-ep-2087,1.0,8.53
Chongqing-EP_Coal_300_RC-ep-2088,0.4,9.16975
Chongqing-EP_Coal_300_RC-ep-2088,1.0,8.53
Chongqing-EP_Coal_300_RC-ep-2089,0.4,9.16975
Chongqing-EP_Coal_300_RC-ep-2089,1.0,8.53
Chongqing-EP_Coal_300_RC-ep-2090,0.4,9.16975
Chongqing-EP_Coal_300_RC-ep-2090,1.0,8.53
Chongqing-EP_Coal_600_RC-ep-2067,0.4,8.52475
Chongqing-EP_Coal_600_RC-ep-2067,1.0,7.93
Chongqing-EP_Coal_600_RC-ep-2068,0.4,8.52475
Chongqing-EP_Coal_600_RC-ep-2068,1.0,7.93
Chongqing-EP_Coal_600_RC-ep-2069,0.4,8.52475
Chongqing-EP_Coal_600_RC-ep-2069,1.0,7.93
Chongqing-EP_Coal_600_RC-ep-2070,0.4,8.52475
Chongqing-EP_Coal_600_RC-ep-2070,1.0,7.93
Chongqing-EP_Coal_600_RC-ep-2071,0.4,8.52475
Chongqing-EP_Coal_600_RC-ep-2071,1.0,7.93
Chongqing-EP_Coal_600_RC-ep-2072,0.4,8.52475
Chongqing-EP_Coal_600_RC-ep-2072,1.0,7.93
Chongqing-EP_Coal_600_RC-ep-3174,0.4,8.52475
Chongqing-EP_Coal_600_RC-ep-3174,1.0,7.93
